id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_rating,crime_level,crime_incidents_count
39782339,MAGICAL 1 BDR IN HOLLYWOOD BY RUNYON CANYON,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,120,348,3.2,2.1413373860182396,658
39866817,"SPACIOUS RM, A/C, WIFI, IN THE HEART OF HOLLYWOOD",City of Los Angeles,Hollywood,34.1,-118.35,Private room,50,139,4.0,2.1413373860182396,658
40139222,WEHO 2bed/2bath apartment w washer/dryer in unit,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,70,243,3.5,2.1413373860182396,658
40263195,Dazzling Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,96,3.5,2.1413373860182396,658
40430707,Hollywood Supernatural,City of Los Angeles,Hollywood Hills West,34.1,-118.35,Shared room,75,81,3.571,2.1413373860182396,658
40530520,Unit 11 - RUNYON CANYON - HOLLYWOOD 2 BEDS STUDIO!,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,125,19,4.0,2.1413373860182396,658
40572768,A 112 - Modern Studio in Hollywood + parking spot,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,92,255,2.5,2.1413373860182396,658
40939642,Hollywood Hills  Womens B&B near Walk of Fame $49,City of Los Angeles,Hollywood,34.1,-118.35,Private room,49,178,3.083,2.1413373860182396,658
41090174,2 Bedroom HOLLYWOOD CELEBRITY LOCATION up to12ppl,City of Los Angeles,Hollywood,34.1,-118.35,Private room,385,365,3.133,2.1413373860182396,658
41196392,A 205 - Modern 1 bed 1 bath in Hollywood + Parking,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,94,150,3.0,2.1413373860182396,658
41405451,SUNSET Blvd Beautiful 1BD with POOL and PARKING!,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,159,365,4.0,2.1413373860182396,658
41508784,Private Room in Spacious Hollywood Hills Condo,City of Los Angeles,Hollywood Hills West,34.1,-118.35,Private room,65,1,3.286,2.1413373860182396,658
41723655,"luxurious Hollywood Hills 5BD, Near Runyon Canyon",City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,1286,90,3.667,2.1413373860182396,658
41881734,Unit 15 - RUNYON CANYON & HOLLYWOOD - 2 beds(1b1b),City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,125,61,3.0,2.1413373860182396,658
