listing_id,avg_rating,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_severity_level,count
808891,3.5,Fairfax,34.09,-118.35,0,80,329,2.272727273,165
810082,3.7,Hollywood Hills West,34.1,-118.38,1,175,324,2.068965517,58
816743,4,Hollywood,34.09,-118.33,1,130,89,2.374257426,505
822068,4,Eagle Rock,34.14,-118.2,0,80,301,2.260869565,69
823617,3,Hollywood Hills,34.11,-118.34,0,124,365,2.178294574,129
828216,3.4,West Los Angeles,34.05,-118.44,0,80,344,2.156908665,427
828540,4,Downtown,34.05,-118.24,1,35,328,2.36643026,846
829140,3,Windsor Square,34.08,-118.33,1,85,365,2.121212121,132
832900,3.7,Mar Vista,34,-118.43,0,156,161,2.246753247,154
839019,3.666666667,Venice,33.99,-118.46,0,140,16,2.14354067,209
844353,3,Sherman Oaks,34.13,-118.47,0,896,87,1.842105263,19
845314,3.75,Silver Lake,34.08,-118.27,0,111,233,2.244755245,286
852128,3,Sawtelle,34.02,-118.44,1,99,179,1.987012987,77
852580,3.692307692,Mid-Wilshire,34.06,-118.36,1,73,220,2.1125,240
853359,4,Downtown,34.05,-118.24,1,38,335,2.36643026,846
858299,3,Koreatown,34.07,-118.3,1,74,89,2.246329527,613
858343,4,Koreatown,34.07,-118.3,1,72,89,2.246329527,613
860778,2.6,West Hollywood,34.09,-118.37,0,85,187,2,36
860941,3.457142857,Studio City,34.15,-118.4,0,95,317,1.902439024,82
862186,3.4,Reseda,34.19,-118.52,0,153,287,2.230769231,65
882329,3.571428571,Sawtelle,34.03,-118.46,0,225,350,2.178571429,28
882333,4,Fairfax,34.09,-118.35,0,80,195,2.272727273,165
890924,4,North Hollywood,34.18,-118.37,1,43,302,2.235,200
892469,4,Arlington Heights,34.04,-118.33,1,88,365,2.430851064,188
906604,3,Los Feliz,34.11,-118.29,0,170,308,2.269005848,171
910713,4.5,Venice,33.99,-118.46,0,200,75,2.14354067,209
913055,2,West Hills,34.19,-118.64,0,79,323,2.276923077,65
920895,3,Venice,33.98,-118.46,0,325,74,2.076086957,92
921737,3.5,Hollywood,34.09,-118.34,0,117,151,2.30458221,371
921738,4,Hollywood,34.09,-118.36,0,103,179,2.169230769,65
921800,3.666666667,Mid-City,34.04,-118.33,0,99,173,2.430851064,188
925303,4,Hollywood Hills,34.12,-118.31,0,233,353,1.842105263,19
928123,3.272727273,Santa Monica,34.01,-118.46,0,131,271,2.277777778,18
929709,3.5,Highland Park,34.11,-118.2,1,68,365,2.370044053,227
932354,3.615384615,Venice,33.99,-118.46,0,240,336,2.14354067,209
933007,4,Sherman Oaks,34.15,-118.43,0,82,161,2.130890052,191
934139,2,Santa Monica,34.03,-118.46,1,70,123,2.178571429,28
934488,3.838709677,Venice,33.98,-118.47,0,206,46,2.3125,192
934609,3,Hancock Park,34.08,-118.34,0,95,279,2.038674033,181
937869,3,Woodland Hills,34.15,-118.59,1,92,289,2.5,12
945586,3.857142857,Hollywood Hills West,34.11,-118.36,0,928,287,2.166666667,66
946130,3,San Pedro,33.75,-118.29,0,79,144,2.35915493,142
951044,3.421052632,Arlington Heights,34.04,-118.33,0,120,355,2.430851064,188
951058,3.222222222,Arlington Heights,34.04,-118.33,1,78,269,2.430851064,188
951515,4,Santa Monica,34,-118.48,0,246,365,2.380645161,155
953971,4,Beverly Hills,34.07,-118.39,0,120,284,2.12,25
958435,3.586206897,Venice,33.98,-118.46,0,495,246,2.076086957,92
959751,3.5,West Los Angeles,34.05,-118.44,0,80,144,2.156908665,427
960372,4,Venice,33.98,-118.47,0,175,113,2.3125,192
961834,2.5,West Los Angeles,34.05,-118.43,0,111,173,2.066666667,195
961852,3.857142857,Silver Lake,34.08,-118.27,0,599,35,2.244755245,286
962768,3,Downtown,34.04,-118.26,0,120,343,2.148634985,989
964803,3.333333333,Silver Lake,34.1,-118.26,0,100,28,2.082191781,73
969436,3.8,Sherman Oaks,34.15,-118.47,0,139,358,2.034090909,88
973874,3.52173913,Hollywood Hills,34.13,-118.35,0,119,351,2.111111111,72
975453,3.695652174,Mid-City,34.04,-118.34,0,98,156,2.308641975,243
981534,4,Venice,33.99,-118.48,0,266,299,2.393229167,384
984743,3.8,Hollywood Hills,34.13,-118.32,0,261,334,2.625,16
992786,3.5,Glendale,34.16,-118.3,0,275,342,1.8,10
994791,3.5,Palms,34.02,-118.43,1,69,327,2.164556962,79
1006774,3.416666667,West Los Angeles,34.04,-118.44,1,59,258,2.136986301,292
1012454,4,Hollywood Hills,34.11,-118.34,0,325,321,2.178294574,129
1013865,3.611111111,Venice,34,-118.45,1,81,349,2.067226891,119
1014088,3,Fairfax,34.08,-118.35,0,90,31,2.189111748,349
1024079,3,Downtown,34.05,-118.24,1,45,239,2.36643026,846
1025161,3.576923077,Mid-Wilshire,34.06,-118.35,1,79,330,2.072507553,331
1029410,3.818181818,Echo Park,34.08,-118.25,0,150,3,2.069767442,86
1036792,3.541666667,Mid-Wilshire,34.06,-118.32,0,120,352,1.846994536,183
1039000,3.666666667,West Hollywood,34.09,-118.37,1,57,365,2,36
1040399,3.677419355,Los Feliz,34.1,-118.28,0,141,242,2.309734513,113
1042878,4,Mar Vista,34.01,-118.45,0,150,359,2,59
1045863,3,Sawtelle,34.04,-118.46,0,149,59,2.234693878,392
1046292,4,Los Feliz,34.12,-118.27,1,71,348,2.123287671,73
1054981,3.666666667,Venice,33.99,-118.47,0,600,178,2.301724138,580
1056743,3.5,Echo Park,34.08,-118.26,0,87,126,2.282798834,343
1089331,4,Venice,33.98,-118.46,0,95,74,2.076086957,92
1090564,3.25,Los Feliz,34.1,-118.27,0,95,185,2.009803922,102
1092952,3.944444444,Echo Park,34.09,-118.25,0,110,336,2.333333333,93
1095376,4,Echo Park,34.08,-118.27,0,93,255,2.244755245,286
1097756,3.6,Woodland Hills,34.15,-118.6,0,265,344,2.023809524,42
1099673,3.666666667,Venice,33.99,-118.47,1,100,36,2.301724138,580
1103947,4.5,Hollywood Hills,34.11,-118.34,0,263,295,2.178294574,129
1109439,3.5,Venice,34,-118.47,0,250,228,2.308510638,282
1112589,3.75,Venice,34,-118.47,0,85,365,2.308510638,282
1115276,3.4,Silver Lake,34.09,-118.27,0,100,322,2.147928994,169
1125117,3.5,Downtown,34.05,-118.24,1,49,365,2.36643026,846
1125142,4,Downtown,34.05,-118.24,1,44,365,2.36643026,846
1126884,3,Eagle Rock,34.14,-118.22,0,120,256,2.197183099,142
1132215,3.375,Silver Lake,34.08,-118.28,0,235,326,2.302419355,248
1135010,4,Downtown,34.04,-118.24,0,179,293,2.361904762,735
1141298,3.62962963,Venice,33.98,-118.46,0,132,271,2.076086957,92
1144761,3,West Hollywood,34.08,-118.37,1,100,365,2.068306011,366
1160233,4,Montecito Heights,34.1,-118.19,1,71,365,2.0625,32
1160510,4,Atwater Village,34.11,-118.25,0,120,210,2.165217391,115
1167685,3.7,Studio City,34.15,-118.4,0,105,297,1.902439024,82
1170934,3.5,East Hollywood,34.09,-118.29,0,92,202,2.472727273,330
1180428,3.583333333,Mount Washington,34.11,-118.21,0,90,137,2.379746835,79
